ID,Tweet,Time,User,Likes,Retweets,in_response_to_id,response_type,vader_emotion,pos_neg,keyword
1165508673956794368,"RT @BTSVotingFam02: ✨ BTS FACTS ✨

BTS produces their own music. This means they compose, write, edit, and record all their songs. 👏🏻

#MPN… <retweeted_status> ✨ BTS FACTS ✨

BTS produces their own music. This means they compose, write, edit, and record all their songs. 👏🏻

#MPN #BTS #ARMY @BTS_twt </retweeted_status>",2019-08-25 06:18:16,Junn46285066,0,0,1165506958704529408,retweet,0.0,0,BTS
1165508674552389632,"RT @btsworldwider: BTS ""Blood Sweat &amp; Tears"" surpassed 490M views on youtube.
#MPN #BTS #ARMY @BTS_twt
&lt;https://youtu.be/hmE9f-TEutc&gt; https://t.… <retweeted_status> BTS ""Blood Sweat &amp; Tears"" surpassed 490M views on youtube.
#MPN #BTS #ARMY @BTS_twt
&lt;https://youtu.be/hmE9f-TEutc&gt; https://t.co/NMP31tfydG </retweeted_status>",2019-08-25 06:18:16,roses_bts,0,0,1165497005004615680,retweet,-0.4215,0,BTS
1165508674808373249,"RT @pieceofjincake: 190811 Lotte family concert 

#JIN #진 #석진 #김석진 #worldwidehandsome #Epiphany #BTS #방탄소년단 @BTS_twt https://t.co/80yKngFGky <retweeted_status> 190811 Lotte family concert 

#JIN #진 #석진 #김석진 #worldwidehandsome #Epiphany #BTS #방탄소년단 @BTS_twt https://t.co/80yKngFGky </retweeted_status>",2019-08-25 06:18:16,fuckthingsup,0,0,1165452768682733570,retweet,0.0,0,BTS
1165508676469317632,"RT @BTSVotingFam02: [MPN CHALLENGE]

🔐 500 RTS7
🔐 RepIy your 5 favorite #BTS songs

✨ Let’s try unlocking this in 2 hours!
#MPN #ARMY @BTS_… <retweeted_status> [MPN CHALLENGE]

🔐 500 RTS7
🔐 RepIy your 5 favorite #BTS songs

✨ Let’s try unlocking this in 2 hours!
#MPN #ARMY @BTS_twt </retweeted_status>",2019-08-25 06:18:17,augaye,0,0,1165480941675892736,retweet,0.7639,1,BTS
1165508676884598784,"RT @GreenHopeARMY: Repeat this to yourself:

I'm proud to be me. I'm not them &amp; it's ok to not be, I'm happy being me. I don't need to chan… <retweeted_status> Repeat this to yourself:

I'm proud to be me. I'm not them &amp; it's ok to not be, I'm happy being me. I don't need to change anything, other than the habits that hold me back &amp; I love who I am. I'm beautiful 💚 #BTS @BTS_twt

(3/20) https://t.co/pgjGMmd3xB </retweeted_status>",2019-08-25 06:18:17,Emaan2019,0,0,1086370825337475074,retweet,0.9136,2,BTS
1165508677966561280,RT @bts_bighit: [#오늘의방탄] Somewhere over the rainbow🌈the dreams that you dare to dream really do come true💕#THEWINGSTOUR🇺🇸#BTS https://t.co/… <retweeted_status> [#오늘의방탄] Somewhere over the rainbow🌈the dreams that you dare to dream really do come true💕#THEWINGSTOUR🇺🇸#BTS https://t.co/pUOw39WRDv </retweeted_status>,2019-08-25 06:18:17,JKrabbit9791,0,0,845125361566343168,retweet,0.8126,1,BTS
1165508678348394496,"RT @40Seeyouin: just realized.... :’)

Stan the number one stan. Stan pewdiepie. 

#bts #pewdiepie #SubscribetoPewdiepie https://t.co/0bIbO… <retweeted_status> just realized.... :’)

Stan the number one stan. Stan pewdiepie. 

#bts #pewdiepie #SubscribetoPewdiepie https://t.co/0bIbOrc0XD </retweeted_status>",2019-08-25 06:18:17,Shitbot01,0,0,1165480345300623361,retweet,0.1531,0,BTS
1165508680525238273,RT @thszn: stop omg i read this wrong and thought they were sending taehyung to mars https://twitter.com/allkpop/status/1164920204356444162 <retweeted_status> stop omg i read this wrong and thought they were sending taehyung to mars https://twitter.com/allkpop/status/1164920204356444162 </retweeted_status> <quoted_status> [UCC] #BTS V becomes the first Kpop idol whose name is sent to Mars aboard NASA's Mars 2020 rover mission https://t.co/dg2nrNlHLl https://t.co/cyb4dKE2qN </quoted_status>,2019-08-25 06:18:18,Naz05d1,0,0,1165000421972369408,retweet,-0.8898,0,BTS
1165508680969682944,"RT @100trillionUSD: #bitcoin halving chart update: 9 months to go!

2012 halving: t-9 BTC $5 -&gt; t=0 $12
2016 halving: t-9 BTC $314 -&gt; t=0 $… <retweeted_status> #bitcoin halving chart update: 9 months to go!

2012 halving: t-9 BTC $5 -&gt; t=0 $12
2016 halving: t-9 BTC $314 -&gt; t=0 $627
2020 halving: t-9 BTC $10,100 -&gt; t=0 $... https://t.co/E1LKwAk4hE </retweeted_status>",2019-08-25 06:18:18,JoshuaLynne,0,0,1165350490198237184,retweet,0.0,1,BTC
1165508681263276033,"RT @BangtanINDIA: Jaejoong was asked about 'What he think about the recent idols?'

He replied, 'I really like BTS and when I bicycle aroun… <retweeted_status> Jaejoong was asked about 'What he think about the recent idols?'

He replied, 'I really like BTS and when I bicycle around Han River I listen to a lot of BTS songs.

#BTS @BTS_twt 

https://t.co/N33awZi7LA </retweeted_status>",2019-08-25 06:18:18,1DtoBTSLove,0,0,1165488538323800065,retweet,0.7137,2,BTS
